clinic_name,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,something
Centrul de Sanatate Medic Line Prosper Center,,,,,,,Mihai
Centrul de Sanatate Mintala Pentru Copii Alessandrescu - Rusescu,"Calea Grivitei Nr. 71, Sector 1 Bucuresti",Calea Grivitei,Nr. 71,Sector 1,Bucuresti,,Mihai
Centrul de Sanatate RATB,Str. Dr. Grozovici Nr. 6 sector 2 Bucuresti,Str. Dr. Grozovici,Nr. 6,Sector 2,Bucuresti,,Mihai
Centrul de Stomatologie Dr. Chioran,"B-dul Dr. Victor Babes Nr.17Timis, Timisoara",B-dul Dr. Victor Babes,Nr. 17,Timisoara,Timis,,Mihai
Centrul de Stomatologie Dr. Chioran,"Strada Surorile Martir Caceu (fosta Negoiu) Nr.25 sc.B Ap.1+2Timis, Timisoara",Strada Surorile Martir Caceu (fosta Negoiu),Nr. 25,Timisoara,Timis,sc.B Ap.1+2,Mihai
Centrul de urgente stomatologice Esthetics,Bd Ramnicu Sarat Nr. 19 sector 3 Bucuresti,Bd Ramnicu Sarat,Nr. 19,Sector 3,Bucuresti,,Mihai
Centrul Delfinul,"B-dul Galati Nr. 3EGalati, Galati",B-dul Galati,Nr. 3,Galati,Galati,,Mihai
Centrul Mara,,,,,,,Mihai
Centrul Medical Advitam Medicis Timisoara,,,,,,,Mihai
Centrul Medical Alba Iulia - Medisol,"Calea Motilor Nr.107Alba, Alba Iulia",Calea Motilor,Nr. 107,Alba Iulia,Alba,,Mihai
Centrul Medical Alergologic Atopia Iasi,,,,,,,Mihai
Centrul Medical Alexis,"Strada Jean Louis Calderon, Nr.45, sector 2 Bucuresti",Strada Jean Louis Calderon,Nr. 45,Sector 2,Bucuresti,,Mihai
Centrul Medical Alsamed,Sos. Colentina Nr. 22 bl. 9C sc. 3 ap. 90 parter Bucuresti,Sos. Colentina,Nr. 22,***,Bucuresti,bl. 9C sc. 3 ap. 90 parte,Mihai
Centrul Medical Antares,"B-dul Republicii Nr. 25Neamt, Piatra Neamt",B-dul Republicii,Nr. 25,Piatra Neamt,Neamt,,Mihai
Centrul Medical Apolo,Str. Coriolan Caius Marcius Nr. 41 sector 5 Bucuresti,Str. Coriolan Caius Marcius,Nr. 41,Sector 5,Bucuresti,,Mihai
Centrul Medical Arcadia Sararie - Iasi,"Str. Sararie Nr. 38Iasi, Iasi",Str. Sararie,Nr. 38,Iasi,Iasi,,Mihai
Centrul Medical Arsmed,"Str. Constantin Brancoveanu Nr. 2Bihor, Oradea",Str. Constantin Brancoveanu,Nr. 2,Oradea,Bihor,,Mihai
Centrul Medical Artemis,"Bd. I. Gh. Duca Nr. 10Constanta, Constanta",Bd. I. Gh. Duca,Nr. 10,Constanta,Constanta,,Mihai
Centrul Medical AS - Aide Sante,Str. Elena Farago Nr. 49A sector 6 Bucuresti,Str. Elena Farago,Nr. 49A,Sector 6,Bucuresti,,Mihai
Centrul Medical Asteco,"Str. Constantin Brancusi Nr. 105Cluj, Cluj-Napoca",Str. Constantin Brancusi,Nr. 105,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Audifon,Str. Bratului Nr. 36 sector 2 Bucuresti,Str. Bratului,Nr. 36,Sector 2,Bucuresti,,Mihai
Centrul Medical Barticesti,"Comuna BotestiNeamt, Barticesti",,,Barticesti,Neamt,Comuna Botesti,Mihai
Centrul Medical Bellanima,"Str. Stockholm Nr. 5, sector 1 Bucuresti",Str. Stockholm,Nr. 5,Sector 1,Bucuresti,,Mihai
Centrul Medical Biomedica,"Str. Radu de la Afumati Nr.5Dambovita, Targoviste",Str. Radu de la Afumati,Nr. 5,Targoviste,Dambovita,,Mihai
Centrul Medical Bio-Medica,"Soseaua Pipera-Tunari Nr.44Ilfov, Voluntari",Soseaua Pipera-Tunari,Nr. 44,Voluntari,Ilfov,,Mihai
Centrul Medical Bio-Medica Nord,"Sos. Pipera-Tunari Nr. 44Ilfov, Voluntari",Sos. Pipera-Tunari,Nr. 44,Voluntari,Ilfov,,Mihai
Centrul Medical Biotest - Suceava,"B-dul George Enescu Nr. 13Suceava, Suceava",B-dul George Enescu,Nr. 13,Suceava,Suceava,,Mihai
Centrul Medical Brancusi,Str. Al. Constantinescu Nr. 8Sector 1 Bucuresti,Str. Al. Constantinescu,Nr. 8,Sector 1,Bucuresti,,Mihai
Centrul Medical Brancusi,Str. Valea Doftanei Nr. 113 Sector 6 Bucuresti,Str. Valea Doftanei,Nr. 113,Sector 6,Bucuresti,,Mihai
Centrul Medical Bucovina - CMB,"str. Zamcei Nr.21 bisSuceava, Suceava",str. Zamcei,Nr. 21,Suceava,Suceava,bis,Mihai
Centrul Medical Camen,"Str. Nicolae Titulescu Nr. 52Dolj, Craiova",Str. Nicolae Titulescu,Nr. 52,Craiova,Dolj,,Mihai
Centrul Medical Cardiomed - Cluj Napoca,"Str. Republicii Nr. 17Cluj, Cluj-Napoca",Str. Republicii,Nr. 17,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Cardiomed - Iasi,"Aleea Tudor Neculai Nr. 72Iasi, Iasi",Aleea Tudor Neculai,Nr. 72,Iasi,Iasi,,Mihai
Centrul Medical Cardiomed - Targu Mures,"B-dul 22 Decembrie 1989 Nr. 76-78Mures, Targu Mures",B-dul 22 Decembrie 1989,Nr. 76-78,Targu Mures,Mures,,Mihai
Centrul Medical Cardiomed Reghin,"Piata Petru Maior Nr.31Mures, Reghin",Piata Petru Maior,Nr. 31,Reghin,Mures,,Mihai
Centrul Medical Chirurgical Dr. Cibu,"Str. Tulnicului Nr. 24Alba, Alba Iulia",Str. Tulnicului,Nr. 24,Alba Iulia,Alba,,Mihai
Centrul Medical CitySan,,,,,,,Mihai
Centrul Medical CliniPlus,Str. Visinilor Nr. 16 Bucuresti,Str. Visinilor,Nr. 16,***,Bucuresti,,Mihai
Centrul Medical CMMH,Calea 13 Septembrie Nr. 193 sector 5 Bucuresti,Calea 13 Septembrie,Nr. 193,Sector 5,Bucuresti,,Mihai
Centrul Medical Coronis,"Strada Bucur Nr. 12, sector 4 Bucuresti",Strada Bucur,Nr. 12,Sector 4,Bucuresti,,Mihai
Centrul Medical Darlife,,,,,,,Mihai
Centrul Medical Dava - Sector 2,Str Avram Iancu Nr. 30 interfon 01 sector 2 Bucuresti,Str Avram Iancu,Nr. 30,Sector 2,Bucuresti,interfon 01,Mihai
Centrul Medical de Diagnostic si Tratament Ambulatoriu Academician Dr. Stefan Milcu,,,,,,,Mihai
Centrul Medical de Diagnostic si Tratament Ambulatoriu Dr. Nicolae Kretzulescu,Str. Mihai Voda Nr. 17 sector 5 Bucuresti,Str. Mihai Voda,Nr. 17,Sector 5,Bucuresti,,Mihai
Centrul Medical de Diagnostic si Tratament Dr. Victor Babes,Sos. Mihai Bravu Nr. 281 sector 3 Bucuresti,Sos. Mihai Bravu,Nr. 281,Sector 3,Bucuresti,,Mihai
Centrul Medical de Diagnostic si Tratament Dr. Victor Babes - Spital General,,,,,,,Mihai
"Centrul Medical de Diagnostic, Tratament Ambulator si Medicina Preventiva (CMDTAMP)",,,,,,,Mihai
Centrul Medical de Evaluare si Recuperare pentru Copii si Tineri Cristian Serban,"Str. Avram Iancu Nr. 18Timis, Buzias",Str. Avram Iancu,Nr. 18,Buzias,Timis,,Mihai
"Centrul Medical de Gastroenterologie, Hepatologie si Endoscopie Digestiva","Str. G-ral Traian Mosoiu Nr. 38ACluj, Cluj-Napoca",Str. G-ral Traian Mosoiu,Nr. 38A,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Delfinului,"Pictor D. Harlescu Nr. 6, sector 2 Bucuresti",Pictor D. Harlescu,Nr. 6,Sector 2,Bucuresti,,Mihai
Centrul Medical Dental Estetica,"Str. Zizinului Nr. 35Brasov, Brasov",Str. Zizinului,Nr. 35,Brasov,Brasov,,Mihai
Centrul medical dermatologic Prof. dr. Ioan Nedelcu,,,,,,,Mihai
Centrul Medical Diasan,"Calea Floresti Nr. 77 ap. 60Cluj, Cluj-Napoca",Calea Floresti,Nr. 77,Cluj-Napoca,Cluj,ap. 60,Mihai
Centrul Medical Doctor Luca,"B-dul Eroilor Nr. 44Arges, Pitesti",B-dul Eroilor,Nr. 44,Pitesti,Arges,,Mihai
Centrul Medical DORIS,"b-dul Iuliu Maniu, Nr. 11Sector 6 Bucuresti",b-dul Iuliu Maniu,Nr. 11,Sector 6,Bucuresti,,Mihai
Centrul Medical Dr. Aljobory,"Str. Bucovinei Nr. 73Timis, Timisoara",Str. Bucovinei,Nr. 73,Timisoara,Timis,,Mihai
Centrul Medical Dr. Begher,"B-dul Revolutiei Nr. 26-38 sc. A parterArad, Arad",B-dul Revolutiei,Nr. 26-38,Arad,Arad,sc. A parter,Mihai
Centrul Medical Dr. Calugaru - Craiova,,,,,,,Mihai
Centrul Medical Dr. Cev,"Str. Fagaras Nr. 3Timis, Lugoj",Str. Fagaras,Nr. 3,Lugoj,Timis,,Mihai
Centrul Medical Dr. D,"Str. Patriarh Miron Cristea Nr. 9Timis, Timisoara",Str. Patriarh Miron Cristea,Nr. 9,Timisoara,Timis,,Mihai
Centrul Medical Dr. Dragoi - Timisoara,"Str. Eternitatii Nr. 53 sc. D parterTimis, Timisoara",Str. Eternitatii,Nr. 53,Timisoara,Timis,sc. D parter,Mihai
Centrul Medical Dr. Furtuna Dan,Str. Leonte Anastasievici Nr. 34 Sector 5 Bucuresti,Str. Leonte Anastasievici,Nr. 34,Sector 5,Bucuresti,,Mihai
Centrul Medical Dr. Furtuna Dan,Str. Teius Nr. 3 Sector 5 Bucuresti,Str. Teius,Nr. 3,Sector 5,Bucuresti,,Mihai
Centrul Medical Dr. Hrubaru N ### B,,,,,,,Mihai
Centrul Medical Dr. Ianosi,"B-dul Carol Nr. 99Dolj, Craiova",B-dul Carol,Nr. 99,Craiova,Dolj,,Mihai
Centrul Medical Dr. Lazarescu Marius,Strada Hatmanul Arbore Nr. 12 Etaj 5 Interfon 6 Sector 1 Bucuresti,Strada Hatmanul Arbore,Nr. 12,Sector 1,Bucuresti,Etaj 5 Interfon 6,Mihai
Centrul Medical Dr. Manuela Vaetisi,,,,,,,Mihai
Centrul Medical Dr. Popa,"Calea Aradului Nr. 30Timis, Timisoara",Calea Aradului,Nr. 30,Timisoara,Timis,,Mihai
Centrul Medical Dr. Tantau,"G-ral Traian Mosoiu Nr. 38ACluj, Cluj-Napoca",G-ral Traian Mosoiu,Nr. 38A,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Dr. Teaha,,,,,,,Mihai
Centrul Medical Dr. Tiron,,,,,,,Mihai
Centrul Medical Dr. Vaetisi,"Str. Gheorghe Lazar Nr. 17Timis, Timisoara",Str. Gheorghe Lazar,Nr. 17,Timisoara,Timis,,Mihai
Centrul Medical Dr. Zaharia,"Str. Zugrav Nedelcu Nr. 11Timis, Timisoara",Str. Zugrav Nedelcu,Nr. 11,Timisoara,Timis,,Mihai
Centrul Medical Ecomed,"Piata Revolutiei Nr. 11Botosani, Botosani",Piata Revolutiei,Nr. 11,Botosani,Botosani,,Mihai
Centrul Medical Ecomed Botosani,"Calea Nationala Nr. 57Botosani, Botosani",Calea Nationala,Nr. 57,Botosani,Botosani,,Mihai
Centrul Medical Ecomed Dorohoi,"Bd-ul Victoriei Nr. 3-5 bloc A8Botosani, Dorohoi",Bd-ul Victoriei,Nr. 3-5,Dorohoi,Botosani,bloc A8,Mihai
Centrul medical ELIGON - Bucuresti,"Sos Fundeni Nr. 163, sector 2 Bucuresti",Sos Fundeni,Nr. 163,Sector 2,Bucuresti,,Mihai
Centrul Medical Ema,"B-dul Independentei  bl. 107 sc. B si C mezanimGiurgiu, Giurgiu",B-dul Independentei,,Giurgiu,Giurgiu,bl. 107 sc. B si C mezani,Mihai
Centrul Medical Emerald,Nicolae Caramfil Nr.75 Bucuresti,Nicolae Caramfil,Nr. 75,***,Bucuresti,,Mihai
Centrul Medical Estet Laser,Str. Calusei Nr. 11 sector 2 Bucuresti,Str. Calusei,Nr. 11,Sector 2,Bucuresti,,Mihai
Centrul Medical Euromed,Str. Parintele Galeriu Nr. 6C sector 2 Bucuresti,Str. Parintele Galeriu,Nr. 6C,Sector 2,Bucuresti,,Mihai
Centrul Medical Eurosanity,Calea Plevnei Nr. 44 sector 1 Bucuresti,Calea Plevnei,Nr. 44,Sector 1,Bucuresti,,Mihai
Centrul Medical Focus,B-dul Ferdinand Nr. 141 sector 2 Bucuresti,B-dul Ferdinand,Nr. 141,Sector 2,Bucuresti,,Mihai
Centrul Medical Focus,,,,,,,Mihai
Centrul Medical Focus,,,,,,,Mihai
Centrul Medical Focus,,,,,,,Mihai
Centrul Medical Focus,,,,,,,Mihai
Centrul Medical Focus,,,,,,,Mihai
Centrul Medical Galenus,"Str. Mihai Viteazul Nr. 31Mures, Targu Mures",Str. Mihai Viteazul,Nr. 31,Targu Mures,Mures,,Mihai
Centrul Medical Galenus - Spital,"Str. Mihai Viteazul Nr. 31Mures, Targu Mures",Str. Mihai Viteazul,Nr. 31,Targu Mures,Mures,,Mihai
Centrul Medical Gama Diamed,"Str. T. S. Saveanu Nr. 1Constanta, Mangalia",Str. T. S. Saveanu,Nr. 1,Mangalia,Constanta,,Mihai
Centrul Medical Gorjului,B-dul Iuliu Maniu Nr. 65 bl. 7P sc. 9 sector 6 Bucuresti,B-dul Iuliu Maniu,Nr. 65,Sector 6,Bucuresti,bl. 7P sc. 9,Mihai
Centrul Medical Grivita,"Str. Grivitei Nr. 128Braila, Braila",Str. Grivitei,Nr. 128,Braila,Braila,,Mihai
Centrul Medical Halmasan,"str. Cardinal I. Hossu Nr. 57Cluj, Cluj-Napoca",str. Cardinal I. Hossu,Nr. 57,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Hemodinamic,Sos. Mihai Bravu Nr. 281 et. 3 sector 3 Bucuresti,Sos. Mihai Bravu,Nr. 281,Sector 3,Bucuresti,et. 3,Mihai
Centrul Medical Hipomed Care,,,,,,,Mihai
Centrul Medical HitMed,"Str Stefan Cel Mare Nr. 23 si 23ADolj, Craiova",Str Stefan Cel Mare,Nr. 23,Craiova,Dolj,si 23A,Mihai
Centrul Medical HitMed,"Str. Stefan cel Mare Nr. 23Dolj, Craiova",Str. Stefan cel Mare,Nr. 23,Craiova,Dolj,,Mihai
Centrul Medical Humanitas,Str. Spartachiadei Nr. 13 sector 6 Bucuresti,Str. Spartachiadei,Nr. 13,Sector 6,Bucuresti,,Mihai
Centrul Medical Hygeea,"Str. Hatman Sendrea Nr. 2 et. 1Iasi, Iasi",Str. Hatman Sendrea,Nr. 2,Iasi,Iasi,et. 1,Mihai
Centrul Medical Hypocrate,"Piata General Gheorghe Domasnean Nr. 1Timis, Timisoara",Piata General Gheorghe Domasnean,Nr. 1,Timisoara,Timis,,Mihai
Centrul Medical Intermedica,"Str. Gimnasticii Nr. 11Sibiu, Sibiu",Str. Gimnasticii,Nr. 11,Sibiu,Sibiu,,Mihai
Centrul Medical Ionescu,"Str. Calea Bucuresti  bl. 2 sc. G ap. 3Arges, Pitesti",Str. Calea Bucuresti,,Pitesti,Arges,bl. 2 sc. G ap. 3,Mihai
Centrul Medical Iowemed Cernavoda,"Str. Medgidiei Nr. 1Constanta, Cernavoda",Str. Medgidiei,Nr. 1,Cernavoda,Constanta,,Mihai
Centrul Medical Iowemed CET,"B-dul Aurel Vlaicu Nr. 92Constanta, Constanta",B-dul Aurel Vlaicu,Nr. 92,Constanta,Constanta,,Mihai
Centrul Medical Irina,"Str. Crinului Nr. 23Galati, Galati",Str. Crinului,Nr. 23,Galati,Galati,,Mihai
Centrul Medical Jamgossian,"Str. Primaverii Nr. 8Cluj, Cluj-Napoca",Str. Primaverii,Nr. 8,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Kinesiomed,,,,,,,Mihai
Centrul Medical Klass,"Piata Axente Sever Nr. 2Timis, Timisoara",Piata Axente Sever,Nr. 2,Timisoara,Timis,,Mihai
Centrul Medical Korona,Str. Drumul Taberei Nr. 38 Bl. OD4 sc. 3 ap. 74 sector 6 Bucuresti,Str. Drumul Taberei,Nr. 38,Sector 6,Bucuresti,Bl. OD4 sc. 3 ap. 74,Mihai
Centrul Medical KronMedica,"Str. Iuliu Maniu Nr.12ABrasov, Brasov",Str. Iuliu Maniu,Nr. 12A,Brasov,Brasov,,Mihai
Centrul Medical La Vita Med,"Str. Aurel Vlaicu Nr. 10Cluj, Cluj-Napoca",Str. Aurel Vlaicu,Nr. 10,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Laser System,,,,,,,Mihai
Centrul Medical Launer,,,,,,,Mihai
Centrul Medical Liad,,,,,,,Mihai
Centrul Medical Lotus Med,Str. Calistrat Grozovici Nr. 1 sector 2 Bucuresti,Str. Calistrat Grozovici,Nr. 1,Sector 2,Bucuresti,,Mihai
Centrul Medical Lotus Med Bucuresti,"Str. Dornei Nr. 79-81, sector 1 Bucuresti",Str. Dornei,Nr. 79-81,Sector 1,Bucuresti,,Mihai
Centrul Medical LOYAL,"str. Simion Barnutiu Nr. 23BSalaj, Zalau",str. Simion Barnutiu,Nr. 23B,Zalau,Salaj,,Mihai
Centrul Medical Mariam,"Str. Principala Nr. 261Timis, Pischia",Str. Principala,Nr. 261,Pischia,Timis,,Mihai
Centrul Medical Med Elite,"Calea Dumbravii Nr. 149/3Sibiu, Sibiu",Calea Dumbravii,Nr. 149/3,Sibiu,Sibiu,,Mihai
Centrul Medical Med New Life,Str. Romulus Nr. 57 sector 3 Bucuresti,Str. Romulus,Nr. 57,Sector 3,Bucuresti,,Mihai
Centrul Medical Medeco,"Str. Republicii Nr. 7Vrancea, Focsani",Str. Republicii,Nr. 7,Focsani,Vrancea,,Mihai
Centrul Medical Medex - Iasi,"Str. Ion Creanga Nr. 79, etj.2Iasi, Iasi",Str. Ion Creanga,Nr. 79,Iasi,Iasi,etj.2,Mihai
Centrul Medical Medexpert,"Str. Campului Nr. 124ACluj, Cluj-Napoca",Str. Campului,Nr. 124A,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Mediar,"Str. Tudor Vladimirescu Nr. 28Arad, Arad",Str. Tudor Vladimirescu,Nr. 28,Arad,Arad,,Mihai
Centrul Medical Medicii,"B-dul I.C. Bratianu  bl. A5 sc. A (mezanin)Arges, Pitesti",B-dul I.C. Bratianu,,Pitesti,Arges,bl. A5 sc. A (mezanin),Mihai
Centrul Medical Medicor - Obregia,B-dul Alexandru Obregia Nr. 20 bl. 20bis sector 4 Bucuresti,B-dul Alexandru Obregia,Nr. 20,Sector 4,Bucuresti,bl. 20bis,Mihai
Centrul Medical Medicor - Sebastian,Str. Sebastian Nr. 136 bl. V90 ap. 93 sector 5 Bucuresti,Str. Sebastian,Nr. 136,Sector 5,Bucuresti,bl. V90 ap. 93,Mihai
Centrul Medical Medinvest,"Str. Col. Ion Buzoianu Nr. 50Buzau, Buzau",Str. Col. Ion Buzoianu,Nr. 50,Buzau,Buzau,,Mihai
Centrul Medical Mediplus,"Str. Preot Toma Georgescu Nr. 30Dambovita, Targoviste",Str. Preot Toma Georgescu,Nr. 30,Targoviste,Dambovita,,Mihai
Centrul Medical Medis,"Str. Balti Nr. 7CIasi, Iasi",Str. Balti,Nr. 7C,Iasi,Iasi,,Mihai
Centrul Medical Mediurg,"Str. Clementei Nr. 43Prahova, Ploiesti",Str. Clementei,Nr. 43,Ploiesti,Prahova,,Mihai
Centrul Medical MedLife Victoriei,,,,,,,Mihai
Centrul Medical Medsan,"Str. Ilie Macelaru Nr. 28Cluj, Cluj-Napoca",Str. Ilie Macelaru,Nr. 28,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Medstar - Manastur,"Str. Mehedinti Nr. 1-3Cluj, Cluj-Napoca",Str. Mehedinti,Nr. 1-3,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Memormed,str. Calea Plevnei Nr. 3 Bucuresti,str. Calea Plevnei,Nr. 3,***,Bucuresti,,Mihai
Centrul Medical Memormed,Str. George Georgescu Nr. 54 Bucuresti,Str. George Georgescu,Nr. 54,***,Bucuresti,,Mihai
Centrul Medical Memormed,Str. Stoian Militaru Nr. 84 Bucuresti,Str. Stoian Militaru,Nr. 84,***,Bucuresti,,Mihai
Centrul Medical Micromedica - Bacau,"B-dul Unirii Nr. 15Bacau, Bacau",B-dul Unirii,Nr. 15,Bacau,Bacau,,Mihai
Centrul Medical Micromedica - Bicaz,"Str. Barajului Nr. 31Neamt, Bicaz",Str. Barajului,Nr. 31,Bicaz,Neamt,,Mihai
Centrul Medical Micromedica - Piatra Neamt,"Str. Petru Rares Nr. 20Neamt, Piatra-Neamt",Str. Petru Rares,Nr. 20,Piatra-Neamt,Neamt,,Mihai
Centrul Medical Micromedica - Roman,"Str. Tineretului  Bl. 15Neamt, Roman",Str. Tineretului,,Roman,Neamt,Bl. 15,Mihai
Centrul Medical Micromedica - Targu Neamt,"Str. Marasesti Nr. 58Neamt, Targu Neamt",Str. Marasesti,Nr. 58,Targu Neamt,Neamt,,Mihai
Centrul Medical MIMED,"Str.Florilor Nr. 192D Cluj, Floresti",Str.Florilor,Nr. 192D,Floresti,Cluj,,Mihai
Centrul Medical Mogos Med,"Str. Eugeniu Carada Nr. 14Dolj, Craiova",Str. Eugeniu Carada,Nr. 14,Craiova,Dolj,,Mihai
Centrul Medical Monza,"Str. Tudor Stefan Nr. 38-40, Sector 1 Bucuresti",Str. Tudor Stefan,Nr. 38-40,Sector 1,Bucuresti,,Mihai
Centrul Medical Napomedica,"Piata Libertatii Nr. 10-11Cluj, Gherla",Piata Libertatii,Nr. 10-11,Gherla,Cluj,,Mihai
Centrul Medical Natisan Gavana 3,"Cartier Gavana 3  bl. M3a parterArges, Pitesti",Cartier Gavana 3,,Pitesti,Arges,bl. M3a parter,Mihai
Centrul Medical Natisan Grup - Calea Bascovului,,,,,,,Mihai
Centrul Medical Nicomed - Alexandria,"Str. Dunarii  bl. G103 sc. F ap. 2-3Teleorman, Alexandria",Str. Dunarii,,Alexandria,Teleorman,bl. G103 sc. F ap. 2-3,Mihai
Centrul Medical Nicomed Crangasi,Calea Crangasi Nr. 23 ap. 1 sector 6 Bucuresti,Calea Crangasi,Nr. 23,Sector 6,Bucuresti,ap. 1,Mihai
Centrul Medical Nicomed Grivitei,Calea Grivitei Nr. 198-200 bl. C sector 1 Bucuresti,Calea Grivitei,Nr. 198-200,Sector 1,Bucuresti,bl. C,Mihai
Centrul Medical Nordestetica,Str. Daniel Ciugureanu Nr. 24A sector 1 Bucuresti,Str. Daniel Ciugureanu,Nr. 24A,Sector 1,Bucuresti,,Mihai
Centrul Medical Nova Vita,"Str. Liviu Rebreanu Nr. 29/AMures, Targu Mures",Str. Liviu Rebreanu,Nr. 29/A,Targu Mures,Mures,,Mihai
Centrul Medical Ocna Mures - Medisol,"str. Axente Sever Nr. 43AAlba, Ocna Mures",str. Axente Sever,Nr. 43A,Ocna Mures,Alba,,Mihai
Centrul Medical Optilaser,B-dul Dacia Nr. 31 Sect 1 Bucuresti,B-dul Dacia,Nr. 31,***,Bucuresti,Sect 1,Mihai
Centrul Medical Optim Onix,,,,,,,Mihai
Centrul Medical Panduri - Arcul de Triumf,Str. Clucerului Nr. 55 sector 1 Bucuresti,Str. Clucerului,Nr. 55,Sector 1,Bucuresti,,Mihai
Centrul Medical Panduri - Panduri,Str. Dr. Ioan Atanasiu Nr. 34 sector 5 Bucuresti,Str. Dr. Ioan Atanasiu,Nr. 34,Sector 5,Bucuresti,,Mihai
Centrul Medical Parga Sat,"Str. Republicii Nr. 7Arges, Campulung",Str. Republicii,Nr. 7,Campulung,Arges,,Mihai
Centrul Medical pentru Copii - Maia,Str. Despot Voda Nr. 42-44 sector 2 Bucuresti,Str. Despot Voda,Nr. 42-44,Sector 2,Bucuresti,,Mihai
Centrul Medical Polimed - Caraiman,Str. Caraiman Nr. 65 sector 1 Bucuresti,Str. Caraiman,Nr. 65,Sector 1,Bucuresti,,Mihai
Centrul Medical Polimed - Spital Monza,,,,,,,Mihai
Centrul Medical Polimed Targoviste,"Str. Gabriel Popescu Nr. 4Dambovita, Targoviste",Str. Gabriel Popescu,Nr. 4,Targoviste,Dambovita,,Mihai
Centrul Medical Pop de Basesti,Str. Gh. Pop de Basesti Nr. 26A sector 2 Bucuresti,Str. Gh. Pop de Basesti,Nr. 26A,Sector 2,Bucuresti,,Mihai
Centrul Medical Poparlan,,,,,,,Mihai
Centrul Medical Prain,"Calea Dorobantilor Nr. 32A et. 1 corp A cam. 2A, 2B9 corp C cam. 12, 13 Bucuresti",Calea Dorobantilor,Nr. 32A,***,Bucuresti,"et. 1 corp A cam. 2A, 2B9",Mihai
Centrul Medical ProEstetica,Str. Tudor Stefan Nr. 38-40 sector 1 Bucuresti,Str. Tudor Stefan,Nr. 38-40,Sector 1,Bucuresti,,Mihai
Centrul Medical Profilaxia Arad,"B-dul Revolutiei Nr. 45 etaj 1 cam. 107 (in Policlinica municipala)Arad, Arad",B-dul Revolutiei,Nr. 45,Arad,Arad,etaj 1 cam. 107 (in Polic,Mihai
Centrul Medical Profilaxia Timisoara,"Str. Drubeta Nr. 97 (colt cu Strada Mures)Timis, Timisoara",Str. Drubeta,Nr. 97,Timisoara,Timis,(colt cu Strada Mures),Mihai
Centrul Medical Profilaxis,"Str. 1 Decembrie 1918 Nr. 106Timis, Timisoara",Str. 1 Decembrie 1918,Nr. 106,Timisoara,Timis,,Mihai
Centrul Medical Promedica - Iasi,"Sos. Moara de Foc Nr. 30Iasi, Iasi",Sos. Moara de Foc,Nr. 30,Iasi,Iasi,,Mihai
Centrul Medical Promedis,"Str. Bucuresti Nr. 80-82Cluj, Cluj-Napoca",Str. Bucuresti,Nr. 80-82,Cluj-Napoca,Cluj,,Mihai
Centrul Medical Provisan,"B-dul 1 Decembrie 1918 Nr. 209/1Mures, Targu Mures",B-dul 1 Decembrie 1918,Nr. 209/1,Targu Mures,Mures,,Mihai
Centrul Medical Provita (Agricultori),"Str. Agricultori Nr. 82, sector 2 Bucuresti",Str. Agricultori,Nr. 82,Sector 2,Bucuresti,,Mihai
Centrul Medical Rapid Consult,"Str. Andrei Muresanu Nr. 19 ap. 3Arad, Arad",Str. Andrei Muresanu,Nr. 19,Arad,Arad,ap. 3,Mihai
Centrul Medical Recumed,Str. Grigore Alexandrescu Nr. 33 sector 1 Bucuresti,Str. Grigore Alexandrescu,Nr. 33,Sector 1,Bucuresti,,Mihai
Centrul Medical Rimmed,,,,,,,Mihai
Centrul Medical Rom Med 2000,Intrarea Baba Novac Nr. 4A sector 3 Bucuresti,Intrarea Baba Novac,Nr. 4A,Sector 3,Bucuresti,,Mihai
Centrul Medical ROT Diagnostic ### Tratament,"bd Constructorilor Nr. 20A (cladirea IPROMET) camera PB.04 , sector 6 Bucuresti",bd Constructorilor,Nr. 20A,Sector 6,Bucuresti,(cladirea IPROMET) camera,Mihai
Centrul Medical Rotmed,"Str. Mircea Zaciu Nr. 2-4 ap. 1Cluj, Cluj-Napoca",Str. Mircea Zaciu,Nr. 2-4,Cluj-Napoca,Cluj,ap. 1,Mihai
Centrul Medical Rubio,"Calea Victoriei Nr. 60-62Arad, Arad",Calea Victoriei,Nr. 60-62,Arad,Arad,,Mihai
Centrul Medical Samus,"Str. Principala Nr. 966ACluj, Gilau",Str. Principala,Nr. 966A,Gilau,Cluj,,Mihai
Centrul Medical Sanavita,"Str. Gradina Veche Nr. 90Galati, Galati",Str. Gradina Veche,Nr. 90,Galati,Galati,,Mihai
Centrul Medical Sanmed,Str. Petre Popovat Nr. 15 sector 6 Bucuresti,Str. Petre Popovat,Nr. 15,Sector 6,Bucuresti,,Mihai
