clinic_name,description,medical_unit_type,clinic_schedule,primary_phone,secondary_phone,primary_email,website,address,clinic_street,clinic_number,clinic_city,clinic_county,clinic_other_details,facilities,clinic_specialities
Centrul Medical Brancusi,"Centrul Medical Brancusi isi desfasoara activitatea incepand cu anul 2009, in cladirea situata in mijlocul cartierului ANL Brancusi, pe strada Valea Doftanei Nr. 113, raspunzand in primul rand cerintelor locatarilor din cartierul Brancusi si a zonelor invecinate (Valea Oltului, Prelungirea Ghencea si o mare parte din cartierul Drumul Taberei) de a avea o policlinica cu specialitati si servicii medicale complexe (medicina de familie, ecografie, ginecologie, ORL, stomatologie, endocrinologie, psihologie, dermatologie, homeopatie, fiziokinetoterapie, osteodensitometrie, radiologie, videocolposcopie, diabet-nutritie, medicina muncii, cardiologie, explorari functionale, laborator analize medicale, etc.).",Centru Medical,,,,contact@cmbrancusi.ro,https://www.cmbrancusi.ro,Str. Al. Constantinescu Nr. 8Sector 1 Bucuresti,,,,,,"[""Rezultate analize - online""]","[""Dermatologie"", ""Medicina de Familie"", ""Psihiatrie"", ""Reumatologie""]"
Centrul Medical Bucovina - CMB,"CMB pune la dispozitie un set complet de aparatura de specialitate: ecograf, computer tomograf si imagistica prin rezonanta magnetica, toate marca GE, un producator a carei notorietate este binecunoscuta. Modelele achizitionate sunt de ultima generatie, având caracteristici care le recomanda a fi cele mai bune din România în acest moment. Nu exista satisfactie mai mare decât un diagnostic corect urmat de vindecarea omului bolnav. Am crezut si credem în continuare cu tarie ca Medicina este cu mult mai mult decât o meserie printre atâtea altele: este o stare de spirit, este pasiune, daruire, este o arta.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""08:00"", ""endTime"": ""14:00""}], ""D"": []}",,,office@policlinicacmb.ro office,https://policlinicacmb.ro,"str. Zamcei nr.21 bisSuceava, Suceava",,,,,,,"[""Boli Infectioase"", ""Cardiologie"", ""Chirurgie Generala"", ""Dermatologie"", ""Endocrinologie"", ""Gastroenterologie"", ""Investigatii Imagistica"", ""Medicina Interna"", ""Medicina Muncii"", ""Nefrologie"", ""Neurochirurgie"", ""Neurologie"", ""Neurologie Pediatrica"", ""Nutritie"", ""Obstetrica - Ginecologie"", ""Ortopedie si Traumatologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Pneumologie"", ""Reumatologie"", ""Urologie""]"
Centrul Medical Camen,"Suntem o organizatie medicala particulara care ofera servicii medicale tuturor membrilor familiei. Ne-am inceput activitatea in anul 1991 investind pina in prezent peste 350.000 $, fapt ce ne-a conferit permanent pozitia de lider absolut in ecografia din Oltenia. Suntem primul cabinet din tara care ne-am dotat cu ecograf 3D/4D. Dr. Camen Dragos este pe de alta parte initiatorul ecografiei in Oltenia in 1986. Policlinica Dr.Camen a fost si este in domeniul ecografiei cea mai dotata unitate medicala din Oltenia.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""08:00"", ""endTime"": ""13:00""}], ""D"": []}",,,office@camen.ro,http://www.camen.ro,"Str. Nicolae Titulescu nr. 52Dolj, Craiova",,,,,,,"[""Chirurgie Dento - Alveolara"", ""Chirurgie Generala"", ""Dermatovenerologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Gastroenterologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Interna"", ""Medicina Muncii"", ""Nefrologie"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oftalmologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Psihiatrie"", ""Stomatologie"", ""Urologie""]"
Centrul Medical Cardiomed - Cluj Napoca,,Clinica Medicala,,,,office@cardiomedcluj.ro,http://www.cardiomedcluj.ro,"Str. Republicii nr. 17Cluj, Cluj-Napoca",,,,,,,"[""Alergologie si Imunologie Clinica"", ""Boli Infectioase"", ""Cardiologie"", ""Dermatovenerologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Medicina Interna"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oncologie Medicala"", ""Ortopedie si Traumatologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Pneumologie"", ""Psihiatrie"", ""Reumatologie"", ""Urologie""]"
Centrul Medical Cardiomed - Iasi,"Una dintre primele firme cu practica privata in domeniul cardiologiei din Iasi (infiintata in anul 2001), care din anul 2004 detine constant primul loc in ceea ce priveste numarul de consultatii acordate anual (o medie de 14000 consultatii/an); de notat adresabilitatea inalta din toate judetele Moldovei.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [{""startTime"": ""08:00"", ""endTime"": ""14:00""}], ""D"": []}","{""label"": ""phone"", ""value"": ""0232 - 261 915""}","[{""label"": ""phone"", ""value"": ""0741 057 676""}, {""label"": ""fax"", ""value"": ""0232 263 700""}]",contact@cardiomediasi.ro,http://www.cardiomediasi.ro,"Aleea Tudor Neculai nr. 72Iasi, Iasi",,,,,,"[""Loc de Parcare"", ""Cai de acces pentru persoane cu dizabilitati"", ""Farmacie in clinica""]","[""Cardiologie"", ""Dermatovenerologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Gastroenterologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Generala"", ""Oftalmologie"", ""Pneumologie"", ""Radiologie - Imagistica Medicala"", ""Recuperare, Medicina Fizica si Balneologie""]"
Centrul Medical Cardiomed - Targu Mures,,Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""17:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""17:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""17:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""17:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""17:00""}], ""S"": [], ""D"": []}",,,contact@cardiomedtgm.ro,http://cardiomedtgm.ro,"B-dul 22 Decembrie 1989 nr. 76-78Mures, Targu Mures",,,,,,,"[""Cardiologie"", ""Medicina Interna"", ""Neurologie"", ""Stomatologie""]"
Centrul Medical Cardiomed Reghin,"Centrul Medical Cardiomed este un centru de excelenta, lider national si regional, recunoscut în diagnosticul si tratamentul bolilor cardiovasculare si formator acreditat prin platforma universitara de medici cardiologi, rezidenti în cardiologie si cardiologie interventionala.",Centru Medical,,,,reghin@cardiomedtgm.ro,https://www.cardiomedtgm.ro,"Piata Petru Maior Nr.31Mures, Reghin",,,,,,,"[""Cardiologie"", ""Fizioterapie"", ""Investigatii Imagistica"", ""Medicina de Laborator (Analize medicale)""]"
Centrul Medical Chirurgical Dr. Cibu,,Clinica Medicala,,,,cmcpraxis@gmail.com,https://www.doctorcibu.ro/,"Str. Tulnicului nr. 24Alba, Alba Iulia",,,,,,,"[""Chirurgie Cardiovasculara"", ""Chirurgie Generala"", ""Dermatologie"", ""Endocrinologie"", ""Neurochirurgie"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Pneumologie"", ""Urologie""]"
Centrul Medical CitySan,"Centrul Medical CitySan ofera servicii de stomatologie, laborator radiologie dentara, laborator analize medicale, medicina muncii, ecografie.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""19:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""19:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""19:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""19:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""19:00""}], ""S"": [], ""D"": []}",,,,,,,,,,,,"[""Medicina de Laborator (Analize medicale)"", ""Medicina Generala"", ""Medicina Muncii"", ""Stomatologie""]"
Centrul Medical CliniPlus,"Pentru Centrul Medical CliniPlus, fiecare pacient este unic, acesta fiind investigat si diagnosticat pe baza particularitatilor mostenite sau dobandite si tratat in functie de raspunsul organismului la medicatia administrata.Cu o echipa de profesionisti si un laborator dotat cu aparatura ultra performanta, Centrul Medical CliniPlus poate asigura nu numai un control al starii de sanatate a pacientilor ci si o imbunatatire a acesteia prin actiuni de prevenire, identificare si eliminare din timp a agentilor cu potential nociv asupra organismului, luand in considerare particularitatile fiecarui pacient, aplicand dictonul “ nu exista boli, exista bolnavi ”",Clinica Medicala,"{""L"": [{""startTime"": ""07:00"", ""endTime"": ""17:00""}], ""Ma"": [{""startTime"": ""07:00"", ""endTime"": ""17:00""}], ""Mi"": [{""startTime"": ""07:00"", ""endTime"": ""17:00""}], ""J"": [{""startTime"": ""07:00"", ""endTime"": ""17:00""}], ""V"": [{""startTime"": ""07:00"", ""endTime"": ""17:00""}], ""S"": [], ""D"": []}",,,office@cliniplus.ro,http://cliniplus.ro,Str. Visinilor nr. 16 Bucuresti,,,,,,,"[""Medicina de Laborator (Analize medicale)"", ""Medicina Muncii"", ""Obstetrica - Ginecologie""]"
Centrul Medical CMMH,"Cu o experienta de peste 10 ani in domeniul medical privat, Centrul Medical CMMH ofera pacientilor sai o gama completa de analize de laborator si medicina a muncii. Investitiile in aparatura medicala de ultima ora, largirea ariei de acoperire a serviciilor medicale precum si colaborarea cu o intreaga echipa de medici bine pregatiti sunt principalele preocupari ale companiei noastre, astfel incat pacientii care apeleaza la serviciile noastre sa fie pe deplin multumiti. Profesionalismul, corectitudinea, flexibilitatea si experienta sunt principalele atuuri ale echipei noastre. Prin activitatea pe care o desfasuram ne propunem sa educam pacientii in scopul prevenirii afectiunilor medicale, printr-o monitorizare continua a starii de sanatate. Centrul medical CMMH isi propune sa ofere servicii medicale la standarde ridicate, prestate de personal foarte bine pregatit profesional. Pentru siguranta si confortul dumneavoastra,CMMH ofera servicii de prelevare a probelor biologice precum si efectuarea testelor de medicina a muncii la domiciliul dumneavoastra sau la sediul companiei. Respectarea normelor de calitate, acuratetea rezultatelor oferite in timp util si interpretarea corecta a acestora, precum si instruirea periodica a personalului ne ajuta sa crestem increderea pacientilor in serviciile pe care le oferim.",Clinica Medicala,"{""L"": [{""startTime"": ""07:30"", ""endTime"": ""15:00""}], ""Ma"": [{""startTime"": ""07:30"", ""endTime"": ""15:00""}], ""Mi"": [{""startTime"": ""07:30"", ""endTime"": ""15:00""}], ""J"": [{""startTime"": ""07:30"", ""endTime"": ""15:00""}], ""V"": [{""startTime"": ""07:30"", ""endTime"": ""15:00""}], ""S"": [], ""D"": []}","{""label"": ""phone"", ""value"": ""021 - 320 20 37""}","[{""label"": ""phone"", ""value"": ""0756 778 888""}, {""label"": ""fax"", ""value"": ""0213 173 793""}]",office@cmmh.ro,http://www.cmmh.ro,Calea 13 Septembrie nr. 193 sector 5 Bucuresti,,,,,,,"[""Medicina de Laborator (Analize medicale)"", ""Medicina Muncii""]"
Centrul Medical Coronis,Coronis Medical este una dintre cele mai vechi companii cu profil medical din România si activeaza neîncetat din anul 1991.,Centru Medical,"{""L"": [{""startTime"": ""08:30"", ""endTime"": ""16:00""}], ""Ma"": [{""startTime"": ""08:30"", ""endTime"": ""16:00""}], ""Mi"": [{""startTime"": ""08:30"", ""endTime"": ""16:00""}], ""J"": [{""startTime"": ""08:30"", ""endTime"": ""16:00""}], ""V"": [{""startTime"": ""08:30"", ""endTime"": ""16:00""}], ""S"": [], ""D"": []}",,,srlcoronis@hotmail.com,http://coronis.ro,"Strada Bucur nr. 12, sector 4 Bucuresti",,,,,,,"[""Medicina de Familie"", ""Obstetrica - Ginecologie"", ""Stomatologie""]"
Centrul Medical Darlife,"Darlife este un centru medical nou aparut pe piata lugojeana, avand o echipa tanara si entuziasta de medici specialisti si primari timisoreni. Darlife a luat nastere din dorinta noastra de a privi OMUL din fiecare pacient. Intr-o lume in care calitatea vietii s-a degradat considerabil, marginalizarea viziunii de ansamblu a fiintei umane a devenit un element definitoriu in practica medicala. Omul modern are dreptul la sanatate, astfel, orice indeplinire a actului medical fara competenta maxima, cu mediocritate, dar mai ales fara o constiinta morala autentica, atrage dupa sine incalcarea acestui drept.",Clinica Medicala,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""S"": [], ""D"": []}",,,,http://darlife.ro,,,,,,,,"[""Alergologie si Imunologie Clinica"", ""Cardiologie"", ""Chirurgie Generala"", ""Chirurgie Pediatrica"", ""Dermatovenerologie"", ""Endocrinologie"", ""Medicina Interna"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oftalmologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Radiologie - Imagistica Medicala"", ""Recuperare, Medicina Fizica si Balneologie""]"
Centrul Medical Dava - Sector 2,"Infiintat in anul 1994, Centrul Medical Dava a cunoscut o dezvoltare continua si detine in prezent trei clinici medicale situate in Bucuresti in sectorul 2. Fundamentam relatii de colaborare stabile, pe termen lung. Credem cu fermitate ca doar ajutandu-ne unii pe ceilalti putem progresa.",Centru Medical,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""17:00""}], ""S"": [], ""D"": []}",,,officedava@gmail,http://www.dava.ro/,Str Avram Iancu nr 30 interfon 01 sector 2 Bucuresti,,,,,,,"[""Medicina Muncii""]"
Centrul Medical de Diagnostic si Tratament Ambulatoriu Academician Dr. Stefan Milcu,"CMDTA Academician Stefan Milcu fondata in anul 1949, asigura servicii medicale pacientilor asigurati la C.A.S.A.O.P.S.N.A.J, pacientilor asigurati la alte case de asigurari sau contracost.",Clinica Medicala,,,,,https://directiamedicala.mapn.ro,,,,,,,,"[""Chirurgie Generala"", ""Dermatovenerologie"", ""Medicina Generala"", ""Medicina Interna"", ""Oftalmologie"", ""Otorinolaringologie (ORL)"", ""Psihiatrie"", ""Psihologie""]"
Centrul Medical de Diagnostic si Tratament Ambulatoriu Dr. Nicolae Kretzulescu,"Cu o echipa medicala de cea mai buna calitate, C.M.D.T.A. ""Dr. Nicolae Kretzulescu"" ofera deja asistenta medicala pentru mai mult de 60200 asigurati, operand in contract cu C.A.S.A.O.P.S.N.A.J.  Va oferim si dvs. posibilitatea de a beneficia de serviciile noastre medicale, indiferent daca sunteti sau nu salariat al Ministerului Afacerilor Interne, punandu-va la dispozitie posibilitatea de a va inscrie pe listele unui medic de familie din sistem si de a obtine consulturi pentru mai multe specialitati.",Clinica Medicala,,,,cmdta.kretzulescu@mai.gov.ro,http://cmdta.mai.gov.ro,Str. Mihai Voda nr. 17 sector 5 Bucuresti,,,,,,,"[""Cardiologie"", ""Chirurgie Generala"", ""Dermatovenerologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Interna"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oftalmologie"", ""Ortopedie si Traumatologie"", ""Otorinolaringologie (ORL)"", ""Psihiatrie"", ""Psihologie"", ""Radiologie - Imagistica Medicala"", ""Recuperare, Medicina Fizica si Balneologie"", ""Urologie""]"
Centrul Medical de Diagnostic si Tratament Dr. Victor Babes,"Finalitatea serviciilor medicale oferite de Centrul Medical de Diagnostic si Tratament ""Victor Babes"" este rezolvarea problemelor medicale ale pacientului pana la disparitia lor completa, oferirea unui maximum de confort pacientului pentru imbunatatirea calitatii vietii prin stabilirea cu acuratete a diagnosticului precoce si a unui tratament cat mai specific. Centrul nostru medical are o viziune sanogena asupra existentei umane si promoveaza o cultura pentru sanatate. Oferim oricarei persoane, indiferent de varsta si ocupatie, examene clinice generale si de specialitate, investigatii de laborator generale si specifice in scopul prevenirii afectiunilor, promovarii sanatatii, stabilirii diagnosticului etiologic, stabilirii atitudinii terapeutice adecvate.",Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}","{""label"": ""phone"", ""value"": ""021 - 317 95 03""}","[{""label"": ""phone"", ""value"": ""0723 544 777""}, {""label"": ""fax"", ""value"": ""021 - 317 95 02""}]",centru@cdt-babes.ro,http://www.cdt-babes.ro,Sos. Mihai Bravu nr. 281 sector 3 Bucuresti,,,,,,"[""Loc de Parcare""]","[""Alergologie si Imunologie Clinica"", ""Anestezie si Terapie Intensiva"", ""Boli Infectioase"", ""Cardiologie"", ""Chirurgie Generala"", ""Dermatovenerologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Epidemiologie"", ""Gastroenterologie"", ""Hematologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Generala"", ""Medicina Interna"", ""Medicina Muncii"", ""Nefrologie"", ""Neonatologie"", ""Neurologie"", ""Neurologie Pediatrica"", ""Obstetrica - Ginecologie"", ""Oftalmologie"", ""Oncologie Medicala"", ""Ortopedie si Traumatologie"", ""Otorinolaringologie (ORL)"", ""Pediatrie"", ""Pneumologie"", ""Psihiatrie"", ""Psihologie"", ""Radiologie - Imagistica Medicala"", ""Recuperare, Medicina Fizica si Balneologie"", ""Reumatologie"", ""Stomatologie"", ""Urologie""]"
Centrul Medical de Diagnostic si Tratament Dr. Victor Babes - Spital General,,Spital Privat,,,,,http://www.cdt-babes.ro,,,,,,,"[""Loc de Parcare""]","[""Cardiologie"", ""Chirurgie Generala"", ""Chirurgie Vasculara"", ""Gastroenterologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Interna"", ""Neonatologie"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Otorinolaringologie (ORL)"", ""Urologie""]"
"Centrul Medical de Diagnostic, Tratament Ambulator si Medicina Preventiva (CMDTAMP)","Centrul Medical de Diagnostic, Tratament Ambulator si Medicina Preventiva va sta la dispozitie cu o gama larga de servicii medicale asigurate de profesionisti si de cele mai noi tehnologii din domeniu. Centrul Medical de Diagnostic, Tratament Ambulatoriu si Medicina Preventiva - Bucuresti este institutia publica in domeniul sanitar, cu personalitate juridica, subordonata Academiei Romane, cu sediul Bucuresti, str. Washington 8 - 10. Misiunea noastra este de a corela stiinta cu experienta clinica pentru a ne oferi concursul in rezolvarea celor mai diverse provocari medicale. Colaborarile si investigatiile multidisciplinare, traducerea noutatilor stiintifice in metode noi de diagnostic si tratament si mentalitatea ca nu exista boli ci bolnavi, ne-au clasat in cei 60 de ani de experienta printre centrele medicale de top. Valorile noastre sunt respectul pentru munca si pentru demnitatea individuala, seriozitatea, integritatea, dedicatia pentru stiinta si pentru pacient, corectitudinea si atitudinea centrata pe pacient, etica si siguranta actului medical. Centrul asigura asistenta in peste 28 de specialitati medicale cu un colectiv de peste 150 de medici primari si de specialitate si cadre medicale superioare. Asiguram asistenta medicala primara, de specialitate, de urgenta pentru categoriile de persoane aflate in sistemul de asigurari sociale de sanatate, asistenta medicala si protectie sanitara pentru demnitarii romani si straini, activitati de inspectie sanitara si sanitar-veterinara de stat. Centrul are in dotare sali de operatii chirurgie de zi pentru specialitatile flebologie, oftalmologie, ORL, ortopedie, chirurgie buco-maxilo-faciala, microchirurgie, centru de hemodializa, laborator si farmacie proprii, servicii radiologice complexe (computer tomograf, Doppler, ecograf 3D, 4D), servicii balneofizioterapeutice si de recuperare kinetoterapeutica, serviciu ambulanta.",Clinica Medicala,,,,,https://cmdtamp.ro,,,,,,,,"[""Alergologie si Imunologie Clinica"", ""Cardiologie"", ""Chirurgie Generala"", ""Chirurgie Orala si Maxilo - Faciala"", ""Dermatovenerologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Gastroenterologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Generala"", ""Medicina Interna"", ""Medicina Muncii"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Oftalmologie"", ""Oncologie Medicala"", ""Pediatrie"", ""Pneumologie"", ""Psihiatrie"", ""Psihologie"", ""Radiologie - Imagistica Medicala"", ""Recuperare, Medicina Fizica si Balneologie"", ""Stomatologie"", ""Urologie""]"
Centrul Medical de Evaluare si Recuperare pentru Copii si Tineri Cristian Serban,"Centrul a fost construit intre anii 1992-1997, dupa model occidental, de fondatorii Fundatiei ""Cristian Serban"" pentru Ajutorarea Copiilor Bolnavi, Viorel Serban si Margit Serban, profesori la Universitatea de Medicina si Farmacie ""Victor Babes"" din Timisoara, in memoria fiului lor, Cristian. Dupa finalizare, aceasta institutie medicala a fost introdusa in sistemul medical public din Romania, aflandu-se sub directa coordonare a Ministerului Sanatatii. Centrul Medical ""Cristian Serban"" este un spital modern cu o capacitate de 50 de locuri (diabet zaharat - 35 de locuri, hemofilie - 10 locuri si recuperare fizica medicala - 5 locuri ), ce functioneaza in camere cu 2 paturi, tot timpul anului, in serii de cate 12-14 zile. Serviciile medicale sunt complete, de o calitate comparabila cu cele oferite de clinici universitare de profil din tara si clinici din occident.",Spital de Stat,,,,office@ccserban.ro contact,http://www.ccserban.ro,"Str. Avram Iancu nr. 18Timis, Buzias",,,,,,,"[""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Psihologie"", ""Recuperare, Medicina Fizica si Balneologie""]"
"Centrul Medical de Gastroenterologie, Hepatologie si Endoscopie Digestiva","Unitatea isi desfasoara operatiunile medicale la standarde europene, de ultima ora. Centrul a fost construit pe baza unui concept inovator, fiind realizata inca de pe plansa de proiectare ca un spatiu dedicat activitatii medicale specifice bolilor digestive.",Clinica Medicala,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""19:00""}], ""S"": [], ""D"": []}",,,office@doctortantau.ro,http://www.doctortantau.ro,"Str. G-ral Traian Mosoiu nr. 38ACluj, Cluj-Napoca",,,,,,,"[""Cardiologie"", ""Gastroenterologie""]"
Centrul Medical Delfinului,Suntem aproape de orice solicitare venita din partea pacientilor si o rezolvam cu maxima promtitudine. Lucram intotdeauna la calitatea serviciilor noastre pentru ca pacientii nostri sa se simta in maxima siguranta. Prin serviciile acordate promovam sanatatea la superlativ pentru o viata mai lunga si mai frumoasa.,Clinica Medicala,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,office@delfinului.ro,http://www.centrulmedicaldelfinului.ro,"Pictor D. Harlescu nr 6, sector 2 Bucuresti",,,,,,,"[""Alergologie si Imunologie Clinica"", ""Cardiologie"", ""Endocrinologie"", ""Medicina de Laborator (Analize medicale)"", ""Medicina Generala"", ""Neurologie"", ""Obstetrica - Ginecologie"", ""Ortopedie si Traumatologie"", ""Psihologie"", ""Radiologie - Imagistica Medicala"", ""Recuperare, Medicina Fizica si Balneologie"", ""Urologie""]"
Centrul Medical Dental Estetica,"Primul Centru de Estetica din Brasov, care imbina transformarea totala a Zambetului si Corpului prin cele doua specialitati care s-au reunit sub numele Centrul Medical Dental Estetica - Medicina Dentara si Chirurgie Estetica.",Clinica Medicala,"{""L"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Ma"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""Mi"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""J"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""V"": [{""startTime"": ""09:00"", ""endTime"": ""20:00""}], ""S"": [], ""D"": []}",,,office@dentalestetica.ro,http://www.dentalestetica.ro,"Str. Zizinului nr. 35Brasov, Brasov",,,,,,,"[""Chirurgie Dento - Alveolara"", ""Chirurgie Plastica, Estetica si Microchirurgie Reconstructiva"", ""Stomatologie""]"
Centrul medical dermatologic Prof. dr. Ioan Nedelcu,"Al Dumneavoastra, Prof.Univ Dr. Ioan Nedelcu Medic primar Dermatolog Doctor in Stiinte Medicale Membru al Academiei Americane de Dermatologie",Centru Medical,"{""L"": [{""startTime"": ""08:00"", ""endTime"": ""16:00""}], ""Ma"": [{""startTime"": ""08:00"", ""endTime"": ""16:00""}], ""Mi"": [{""startTime"": ""15:00"", ""endTime"": ""19:00""}], ""J"": [{""startTime"": ""15:00"", ""endTime"": ""19:00""}], ""V"": [{""startTime"": ""08:00"", ""endTime"": ""16:00""}], ""S"": [], ""D"": []}",,,,http://drnedelcuioan.ro,,,,,,,,"[""Dermatologie""]"
Centrul Medical Diasan,"Centru medical Diasan a fost infiintat in anul 2000 avand o experienta de aproape 10 ani in asistenta medicala ambulatorie in specialitatile gastroenterologie, medicina interna, cardiologie, reumatologie. Ulterior s-au alaturat specialisti de endocrinologie, ginecologie, dermatologie, neurologie sau psihologie. Structura organizatorica si pe specialitati medicale s-a cristalizat de-a lungul anilor astfel ca in momentul de fata asiguram consultatii si tratamente de inalta performanta in: gastroenterologie, medicina interna, reumatologie, cardiologie, endocrinologie, nutritie.",Clinica Medicala,,,,contact@diasan.ro,http://www.diasan.ro,"Calea Floresti nr. 77 ap. 60Cluj, Cluj-Napoca",,,,,,,"[""Cardiologie"", ""Diabet Zaharat, Nutritie si Boli Metabolice"", ""Endocrinologie"", ""Gastroenterologie"", ""Medicina Interna"", ""Reumatologie""]"
